,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
61,2022-07-26 10:20:00,7/26/2022 10:42,IP Address,100,1273,True,7/26/2022 10:42,R_1JIWq7schBqjBkD,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,None at all,Frustrated,Never,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,A few times a week / Daily,,arm1_control,5dd4c2f2390fb648f7baf4d2,5dd4c2f2390fb648f7baf4d2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:42,7/26/2022 10:44,IP Address,100.0,154.0,True,7/26/2022 10:44,R_PG8UiSqyKZUnryN,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some high school,25.0,Female,True,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,True,True,7/26/2022 10:49,7/26/2022 10:50,IP Address,100.0,40.0,True,7/26/2022 10:50,R_1mQuO8K3ThwpwcF,,,,,anonymous,EN,,,,,No,Often,Often,Often,"Yes, use the responses.",True,1,True,False,False,4,4.0,0.0,0.0,Keep,False,False,24,False
28,2022-07-26 10:20:00,7/26/2022 10:27,IP Address,100,407,True,7/26/2022 10:27,R_3EMTWcNYDmSKZDf,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,412x915,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm1_control,62ded472638493f7e203049e,62ded472638493f7e203049e,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:27,7/26/2022 10:28,IP Address,100.0,93.0,True,7/26/2022 10:28,R_WdquTnjazxnGBOh,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,35.0,Male,True,Real,,Details,Real,Click,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,True,True,7/26/2022 10:37,7/26/2022 10:38,IP Address,100.0,109.0,True,7/26/2022 10:38,R_sv3xex8420ZH5uN,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,4.0,4.0,0.0,Keep,False,False,24,False
31,2022-07-26 10:22:00,7/26/2022 10:28,IP Address,100,378,True,7/26/2022 10:28,R_2eR35L1NI7dVDbR,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Some,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Disagree,Slightly Agree,Slightly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,A few times a year,,arm4_interactive,5edd97e2fd7ffeabca19907a,5edd97e2fd7ffeabca19907a,0,0,Scam,Click,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:39,7/26/2022 10:40,IP Address,100.0,56.0,True,7/26/2022 10:40,R_33BEpsfiuBrqcrA,,,,,anonymous,EN,Retired,"$100,000 - $149,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,79.0,Female,True,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,,,,True,False,7/26/2022 10:42,7/26/2022 10:44,IP Address,100.0,72.0,True,7/26/2022 10:44,R_WpJbvj7Zy0iw3q9,,,,,anonymous,EN,Other,No,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,4,3.0,3.0,0.0,Test Results are Incomplete,False,,24,False
25,2022-07-26 10:22:00,7/26/2022 10:25,IP Address,100,194,True,7/26/2022 10:25,R_ROL3gF5ZyiUHNjX,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Slightly Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Once a week,,arm4_interactive,5d16ab9b59da87001ac41a61,5d16ab9b59da87001ac41a61,4,0,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Real,,Details,Real,,,True,True,7/26/2022 10:27,7/26/2022 10:28,IP Address,100.0,61.0,True,7/26/2022 10:28,R_veIEZvUfMbGaGXv,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Some college but no degree,56.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:31,7/26/2022 10:32,IP Address,100.0,79.0,True,7/26/2022 10:32,R_2zUrJgwTGJpUVHF,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",Yes,100.0,Yes,Yes,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,True,2,3.0,3.0,0.0,Keep,False,False,24,False
26,2022-07-26 10:23:00,7/26/2022 10:25,IP Address,100,158,True,7/26/2022 10:25,R_1C3jzh4nXzA0UYm,,,,,anonymous,EN,,Yes,,Chrome,101.0.4951.64,Macintosh,1440x900,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a week,,arm1_control,5ec0b261e742474c101e343f,5ec0b261e742474c101e343f,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:25,7/26/2022 10:26,IP Address,100.0,58.0,True,7/26/2022 10:26,R_3MgO20sDUQtNlo1,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",Asian American or Asian,Bachelor degree,21.0,Female,True,Real,,,Real,Click,,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:31,7/26/2022 10:32,IP Address,100.0,65.0,True,7/26/2022 10:32,R_3PN3QYSXcfUR1P2,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Not Sure,,Yes,Yes,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,3.0,2.0,0.0,Keep,False,False,24,False
29,2022-07-26 10:23:00,7/26/2022 10:27,IP Address,100,236,True,7/26/2022 10:27,R_0fGc7VqfrUjyW53,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,CrOS x86_64 14816.99.0,1616x909,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm1_control,5b101e9d7a3be2000106bcec,5b101e9d7a3be2000106bcec,1,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:27,7/26/2022 10:28,IP Address,100.0,49.0,True,7/26/2022 10:28,R_2pM2Xe5h667Ah7g,,,,,anonymous,EN,"Not employed, NOT looking for work","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,36.0,Female,True,Real,,Details,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:33,7/26/2022 10:34,IP Address,100.0,77.0,True,7/26/2022 10:34,R_XLgl3T052gKlZKN,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,2,3.0,3.0,0.0,Keep,False,False,24,False
33,2022-07-26 10:24:00,7/26/2022 10:30,IP Address,100,323,True,7/26/2022 10:30,R_3ewvKMtCwc5syND,,,,,anonymous,EN,,Yes,,Firefox,95,Windows NT 10.0,1280x720,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Strongly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,Agree,Slightly Agree,Strongly Agree,Agree,Slightly Agree,Once a month,,arm1_control,55c4fc3dfdf99b559867a416,55c4fc3dfdf99b559867a416,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:30,7/26/2022 10:30,IP Address,100.0,37.0,True,7/26/2022 10:31,R_1gOOE3TlyWjBNZz,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,30.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Real,,Details,,,,True,False,7/26/2022 10:34,7/26/2022 10:36,IP Address,100.0,145.0,True,7/26/2022 10:36,R_0wumFncfdG2L8WJ,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,2.0,4.0,0.0,Test Results are Incomplete,False,,24,False
27,2022-07-26 10:24:00,7/26/2022 10:26,IP Address,100,142,True,7/26/2022 10:26,R_556DkrQhXURRPs5,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,5fdd80af5312ca44ef4988d1,5fdd80af5312ca44ef4988d1,4,0,Real,,Details,Real,Click,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 10:29,7/26/2022 10:30,IP Address,100.0,40.0,True,7/26/2022 10:30,R_3lGfpGLp6YV6tlQ,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",Asian American or Asian,Some college but no degree,30.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:32,7/26/2022 10:32,IP Address,100.0,34.0,True,7/26/2022 10:32,R_25TILpUei0dcnWd,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,1,2.0,0.0,0.0,Keep,False,False,24,False
34,2022-07-26 10:25:00,7/26/2022 10:30,IP Address,100,324,True,7/26/2022 10:30,R_PYyUkR9cQxZYGxb,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,None at all,Angry,Never,Government is doing too many things better left to businesses and individuals.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Slightly Agree,Slightly Agree,Disagree,Disagree,Disagree,Strongly Disagree,Once a week,,arm4_interactive,5c506a7b8ac59200014d05da,5c506a7b8ac59200014d05da,0,0,Real,Click,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,Real,,,True,True,7/26/2022 10:38,7/26/2022 10:41,IP Address,100.0,180.0,True,7/26/2022 10:41,R_1I3LzIa78FNwWGY,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",60.0,Male,True,Scam,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:46,7/26/2022 10:48,IP Address,100.0,95.0,True,7/26/2022 10:48,R_1MPUPfurZZuK70b,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,3,4.0,4.0,0.0,Keep,False,False,24,False
30,2022-07-26 10:25:00,7/26/2022 10:28,IP Address,100,129,True,7/26/2022 10:28,R_RqrEO37YNfPG70B,,,,,anonymous,EN,,Yes,,Safari iPhone,15.4,iPhone,428x926,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Disagree,Agree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,A few times a year,,arm1_control,6150f63728c7b27243666e51,6150f63728c7b27243666e51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:28,7/26/2022 10:28,IP Address,100.0,24.0,True,7/26/2022 10:28,R_2U5FKvGEYIZ0PcT,,,,,anonymous,EN,"Not employed, looking for work","$0 - $19,999",Hispanic,Some college but no degree,21.0,Female,True,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,,,,True,False,7/26/2022 10:30,7/26/2022 10:31,IP Address,100.0,64.0,True,7/26/2022 10:31,R_2WUOY7HY3eIXl9b,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0.0,2.0,0.0,Test Results are Incomplete,False,,24,False
35,2022-07-26 10:28:00,7/26/2022 10:32,IP Address,100,218,True,7/26/2022 10:32,R_1ALrsFd1tp0ZApH,,,,,anonymous,EN,,Yes,,Chrome,102.0.0.0,Macintosh,1440x900,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,,arm1_control,61006b0f1f3bfddb6b4c5d55,61006b0f1f3bfddb6b4c5d55,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:32,7/26/2022 10:32,IP Address,100.0,48.0,True,7/26/2022 10:32,R_2VwNF4MSAZWuntR,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,31.0,Female,True,Real,,Details,Real,,,Real,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Scam,,Details,Scam,,,True,True,7/26/2022 10:36,7/26/2022 10:37,IP Address,100.0,48.0,True,7/26/2022 10:37,R_28FCCO0Qw8yOQpM,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,Yes,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,3.0,1.0,0.0,Keep,False,False,24,False
37,2022-07-26 10:28:00,7/26/2022 10:33,IP Address,100,262,True,7/26/2022 10:33,R_3kO4LrirlsLJC70,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,2240x1260,Some,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Disagree,A few times a week / Daily,,arm1_control,5f3dd31899a9be204ea557f6,5f3dd31899a9be204ea557f6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:33,7/26/2022 10:34,IP Address,100.0,72.0,True,7/26/2022 10:34,R_3MM9zd59uQKvUJd,,,,,anonymous,EN,"Not employed, NOT looking for work","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Some college but no degree,50.0,Female,True,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,True,True,7/26/2022 10:40,7/26/2022 10:42,IP Address,100.0,95.0,True,7/26/2022 10:42,R_2Pegj6HxQSzQBfF,,,,,anonymous,EN,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,4.0,4.0,0.0,Keep,False,False,24,False
45,2022-07-26 10:28:00,7/26/2022 10:36,IP Address,100,451,True,7/26/2022 10:36,R_AvZsPeU5rXL4773,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 12,412x938,Quite a lot,Frustrated,Most of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Agree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Once a month,,arm1_control,60e8974c6cbf013cde0a68b9,60e8974c6cbf013cde0a68b9,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:36,7/26/2022 10:37,IP Address,100.0,65.0,True,7/26/2022 10:37,R_3jTYXWgmzeOp3fk,,,,,anonymous,EN,"Not employed, looking for work","$80,000 - $99,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",49.0,Male,True,Scam,,,Scam,Click,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:40,7/26/2022 10:41,IP Address,100.0,113.0,True,7/26/2022 10:41,R_2uInRlViBSAJnZR,,,,,anonymous,EN,Someone claiming to be from the Social Security Administration (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,4,4.0,4.0,0.0,Keep,False,False,24,False
36,2022-07-26 10:30:00,7/26/2022 10:33,IP Address,100,138,True,7/26/2022 10:33,R_e3XWudv3TkgRZD3,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Disagree,A few times a year,,arm4_interactive,5bd845189673510001877e36,5bd845189673510001877e36,1,0,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Real,,,Real,,,True,True,7/26/2022 10:35,7/26/2022 10:36,IP Address,100.0,29.0,True,7/26/2022 10:36,R_2Bg5zJAs2gS6QBw,,,,,anonymous,EN,"Not employed, NOT looking for work","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,51.0,Female,True,Scam,,,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,True,True,7/26/2022 10:39,7/26/2022 10:39,IP Address,100.0,44.0,True,7/26/2022 10:39,R_2uO1C8j5W27Qd3V,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,0.0,1.0,0.0,Keep,False,False,24,False
38,2022-07-26 10:30:00,7/26/2022 10:33,IP Address,100,176,True,7/26/2022 10:33,R_0Do9oTAGomiMptT,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,1440x900,Very little,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,A few times a week / Daily,,arm4_interactive,62daa52d86e66e5feaf3bc15,62daa52d86e66e5feaf3bc15,3,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,Details,Scam,,Details,True,True,7/26/2022 10:36,7/26/2022 10:37,IP Address,100.0,30.0,True,7/26/2022 10:37,R_2AYzRLpAyX0Bwt8,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",Hispanic,Graduate or professional degree,38.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,,Scam,,,True,True,7/26/2022 10:41,7/26/2022 10:41,IP Address,100.0,47.0,True,7/26/2022 10:42,R_2zutAHhMRDJfGFU,,,,,anonymous,EN,Someone claiming to be from the company where you work (but wasn't),No,,No,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,1,1.0,1.0,0.0,Keep,False,False,24,False
39,2022-07-26 10:30:00,7/26/2022 10:33,IP Address,100,148,True,7/26/2022 10:33,R_1JPfTmB5rkyARxS,,,,,anonymous,EN,,Yes,,Chrome,101.0.0.0,Windows NT 10.0,1920x1080,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Agree,Disagree,Slightly Disagree,Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Strongly Disagree,Disagree,Disagree,Once a week,,arm4_interactive,58c72acd444ade00010234d8,58c72acd444ade00010234d8,4,0,Real,Click,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,Details,True,True,7/26/2022 10:36,7/26/2022 10:36,IP Address,100.0,25.0,True,7/26/2022 10:36,R_24r74G4m5bhZRKX,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Associate degree,37.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:38,7/26/2022 10:39,IP Address,100.0,36.0,True,7/26/2022 10:39,R_3qjVfSWDObLfgek,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,0.0,0.0,0.0,Keep,False,False,24,False
